BATHRM,HF_BATHRM,HEAT,AC,EYB,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,WARD,SALEYEAR,PRICE
2,0,Forced Air,1,2009,3 Story,Row Inside,Excellent,Good,Concrete,Built Up,Hardwood,1.0,1,1518,Ward 1,2017,1340000.0
4,1,Warm Cool,1,1969,3 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,0,1873,Ward 3,2011,724000.0
2,0,Hot Water Rad,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Wood Floor,1.0,0,1090,Ward 1,2014,425000.0
4,1,Ht Pump,1,1984,2 Story,Row End,Above Average,Very Good,Common Brick,Built Up,Hardwood,2.0,0,3432,Ward 6,2017,1490000.0
1,1,Warm Cool,1,1961,2 Story,Row Inside,Average,Good,Stucco,Metal- Sms,Hardwood,1.0,1,1631,Ward 2,2012,695000.0
2,0,Hot Water Rad,0,1962,2 Story,Multi,Above Average,Average,Common Brick,Built Up,Hardwood,2.0,0,1174,Ward 6,2017,410000.0
2,0,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood/Carp,1.0,0,987,Ward 6,2015,587400.0
1,1,Forced Air,1,1973,1 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,3674,Ward 7,2016,350000.0
2,1,Forced Air,1,2012,3 Story,Row Inside,Very Good,Very Good,Common Brick,Neopren,Hardwood,1.0,0,656,Ward 6,2015,950000.0
1,2,Hot Water Rad,0,1960,2 Story,Single,Good Quality,Average,Common Brick,Clay Tile,Hardwood,1.0,1,2558,Ward 4,2011,473000.0
3,0,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2.0,5,1233,Ward 6,2016,865000.0
1,1,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,553,Ward 6,2017,501000.0
2,0,Forced Air,1,1972,2.5 Story Fin,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1397,Ward 1,2012,724700.0
1,1,Forced Air,1,1970,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2631,Ward 4,2015,405000.0
2,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1.0,1,1477,Ward 5,2013,635000.0
1,1,Warm Cool,1,1960,2 Story,Semi-Detached,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,2794,Ward 5,2018,405255.0
2,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2.0,2,1359,Ward 5,2017,1150000.0
4,2,Warm Cool,1,1990,3 Story,Row End,Very Good,Good,Common Brick,Built Up,Hardwood,1.0,1,2850,Ward 4,2013,1030000.0
2,0,Forced Air,1,1976,2 Story,Single,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1494,Ward 6,2017,747500.0
3,0,Warm Cool,1,1963,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,4080,Ward 3,2012,860000.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2.0,0,1602,Ward 6,2017,810000.0
3,1,Ht Pump,1,1980,2 Story,Row Inside,Above Average,Very Good,Common Brick,Neopren,Hardwood,2.0,0,1514,Ward 6,2015,1350000.0
3,0,Forced Air,1,1975,1 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,6660,Ward 4,2017,830000.0
3,1,Warm Cool,1,1994,2 Story,Row End,Very Good,Good,Common Brick,Comp Shingle,Wood Floor,1.0,1,1088,Ward 3,2018,807000.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,2339,Ward 1,2014,610000.0
3,0,Forced Air,1,1972,2 Story,Single,Very Good,Good,Common Brick,Slate,Hardwood,1.0,1,6604,Ward 4,2011,885000.0
4,1,Warm Cool,1,1999,2 Story,Single,Very Good,Good,Brick Veneer,Comp Shingle,Hardwood/Carp,1.0,4,7550,Ward 3,2016,1395000.0
2,1,Forced Air,0,1972,2 Story,Semi-Detached,Very Good,Average,Common Brick,Slate,Hardwood,1.0,1,2786,Ward 3,2015,795000.0
2,1,Forced Air,1,2006,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood/Carp,1.0,1,608,Ward 1,2016,915000.0
3,1,Hot Water Rad,1,1972,2.5 Story Fin,Single,Very Good,Good,Brick/Stucco,Slate,Hardwood,1.0,1,6375,Ward 3,2011,945000.0
1,1,Forced Air,1,1965,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,2383,Ward 7,2015,294000.0
3,1,Hot Water Rad,1,1984,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,2175,Ward 1,2013,654000.0
1,0,Forced Air,1,1967,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Wood Floor,1.0,0,1623,Ward 7,2018,305000.0
2,1,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1200,Ward 6,2017,699000.0
4,0,Forced Air,1,1954,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,4.0,0,2703,Ward 5,2015,425000.0
3,0,Water Base Brd,1,1963,2.5 Story Fin,Single,Very Good,Average,Stone/Stucco,Slate,Hardwood,1.0,1,5475,Ward 4,2013,699000.0
1,0,Forced Air,0,1957,2 Story,Row Inside,Above Average,Average,Brick/Stucco,Built Up,Hardwood,1.0,0,797,Ward 6,2014,435000.0
2,0,Forced Air,1,1957,2 Story,Semi-Detached,Above Average,Average,Common Brick,Built Up,Hardwood,2.0,0,632,Ward 1,2011,530000.0
1,0,Forced Air,1,2009,2 Story,Semi-Detached,Average,Good,Vinyl Siding,Comp Shingle,Carpet,1.0,0,3005,Ward 7,2014,230000.0
3,1,Forced Air,1,1969,3 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,1,1710,Ward 6,2015,1539000.0
1,0,Hot Water Rad,1,1964,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1672,Ward 7,2018,325000.0
2,0,Hot Water Rad,1,1967,2 Story,Single,Good Quality,Good,Aluminum,Slate,Hardwood,1.0,1,5300,Ward 3,2011,730000.0
1,0,Forced Air,1,1954,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1360,Ward 7,2018,312000.0
1,1,Forced Air,1,2013,3 Story,Row Inside,Good Quality,Very Good,Brick/Siding,Built Up,Hardwood/Carp,1.0,0,679,Ward 5,2011,327900.0
2,1,Forced Air,1,1982,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1.0,1,2310,Ward 1,2010,755000.0
1,1,Warm Cool,1,1968,2 Story,Semi-Detached,Average,Good,Brick/Siding,Comp Shingle,Hardwood,1.0,0,1700,Ward 5,2014,360000.0
4,0,Hot Water Rad,1,1964,2 Story,Multi,Average,Average,Common Brick,Metal- Sms,Hardwood,4.0,0,2966,Ward 8,2011,387000.0
1,1,Forced Air,1,1969,2 Story,Semi-Detached,Average,Good,Common Brick,Comp Shingle,Hardwood/Carp,1.0,1,2263,Ward 7,2014,210000.0
2,0,Forced Air,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1373,Ward 4,2012,480000.0
2,2,Warm Cool,1,2003,3 Story,Row Inside,Superior,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,978,Ward 3,2014,925000.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood/Carp,1.0,0,1637,Ward 6,2017,750000.0
2,0,Warm Cool,1,1979,1 Story,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,9295,Ward 7,2016,406000.0
1,1,Forced Air,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,1406,Ward 1,2014,530000.0
3,1,Forced Air,1,2015,2.5 Story Fin,Single,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood,1.0,1,4026,Ward 4,2013,743455.0
2,0,Forced Air,1,1983,2 Story,Row Inside,Average,Average,Stucco,Shingle,Hardwood,1.0,0,1290,Ward 5,2017,485000.0
1,0,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,833,Ward 5,2018,285000.0
3,1,Hot Water Rad,1,1960,3 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,2.0,2,1616,Ward 6,2016,1250000.0
3,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,1,1653,Ward 6,2014,775000.0
3,1,Forced Air,1,1967,2 Story,Semi-Detached,Above Average,Very Good,Common Brick,Built Up,Hardwood,1.0,0,1789,Ward 4,2017,625000.0
2,0,Forced Air,1,1970,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1.0,0,4018,Ward 5,2017,447000.0
2,1,Forced Air,1,1982,2 Story,Semi-Detached,Average,Very Good,Common Brick,Composition Ro,Hardwood,1.0,0,2838,Ward 5,2014,410000.0
2,1,Hot Water Rad,0,1986,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,1469,Ward 1,2011,645000.0
2,0,Forced Air,1,1970,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood/Carp,1.0,0,1526,Ward 5,2013,257500.0
3,1,Hot Water Rad,1,1960,2 Story,Single,Good Quality,Average,Common Brick,Slate,Hardwood,2.0,2,7916,Ward 3,2016,1140000.0
3,0,Forced Air,1,1967,2 Story,Single,Above Average,Very Good,Common Brick,Comp Shingle,Hardwood,1.0,1,6570,Ward 4,2017,699900.0
1,0,Warm Cool,1,1956,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,2407,Ward 7,2017,200000.0
2,1,Forced Air,1,1980,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,2,1632,Ward 6,2016,875000.0
2,1,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Average,Stone,Metal- Sms,Hardwood,1.0,1,2345,Ward 2,2010,805000.0
2,2,Warm Cool,1,1993,3 Story,Row Inside,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,864,Ward 3,2013,771000.0
4,0,Forced Air,1,2017,2 Story,Multi,Above Average,Excellent,Brick/Siding,Built Up,Hardwood,4.0,0,2598,Ward 8,2017,775000.0
3,0,Forced Air,1,1975,1 Story,Single,Good Quality,Good,Common Brick,Shake,Hardwood,1.0,1,6313,Ward 4,2014,1012500.0
2,1,Hot Water Rad,1,1988,3 Story,Row Inside,Excellent,Very Good,Wood Siding,Built Up,Hardwood,1.0,2,2400,Ward 2,2016,1620000.0
2,2,Warm Cool,1,1983,2.5 Story Fin,Single,Excellent,Good,Common Brick,Slate,Hardwood,1.0,2,7157,Ward 3,2017,1449000.0
2,1,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1615,Ward 3,2014,880000.0
3,1,Hot Water Rad,1,1984,2 Story,Single,Very Good,Good,Common Brick,Slate,Hardwood,1.0,1,3850,Ward 3,2016,1005000.0
1,0,Warm Cool,1,1961,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,1,462,Ward 2,2010,409000.0
1,1,Forced Air,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1712,Ward 7,2017,250000.0
3,1,Warm Cool,1,1995,2 Story,Row End,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,1236,Ward 3,2018,805000.0
1,1,Forced Air,1,1967,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,1,1063,Ward 1,2013,432000.0
1,1,Hot Water Rad,1,1964,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Wood Floor,1.0,0,1710,Ward 1,2012,429000.0
3,1,Forced Air,1,2015,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood,1.0,0,1188,Ward 4,2013,553879.0
4,1,Forced Air,1,1986,3 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,2355,Ward 1,2017,1300000.0
3,1,Forced Air,1,1984,3 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,2.0,3,1853,Ward 2,2013,1210000.0
3,1,Hot Water Rad,1,1986,2 Story,Single,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood,1.0,1,4382,Ward 3,2015,1188000.0
3,1,Forced Air,1,1984,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1719,Ward 1,2012,639500.0
3,1,Forced Air,1,1986,2 Story,Row End,Good Quality,Very Good,Common Brick,Metal- Sms,Carpet,2.0,0,1310,Ward 6,2017,1175000.0
4,0,Hot Water Rad,0,1947,2 Story,Multi,Above Average,Average,Common Brick,Built Up,Hardwood,4.0,0,4881,Ward 8,2018,385000.0
4,1,Forced Air,1,1986,2.5 Story Fin,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,5040,Ward 4,2018,1190000.0
4,1,Warm Cool,1,1995,3 Story,Row Inside,Superior,Very Good,Common Brick,Built Up,Hardwood,2.0,3,1122,Ward 2,2011,1425000.0
3,1,Warm Cool,1,1972,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2.0,7,1800,Ward 2,2017,1625000.0
2,0,Hot Water Rad,0,1957,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1600,Ward 7,2012,294700.0
2,2,Forced Air,1,1969,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,1,6625,Ward 3,2012,946000.0
2,1,Warm Cool,1,1976,3.5 Story Fin,Semi-Detached,Superior,Average,Common Brick,Metal- Cpr,Hardwood,1.0,2,1692,Ward 2,2015,1225000.0
4,1,Hot Water Rad,1,1972,2.5 Story Fin,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2.0,1,4003,Ward 3,2017,1380000.0
1,1,Hot Water Rad,0,1960,2 Story,Single,Above Average,Average,Common Brick,Slate,Hardwood,1.0,1,3331,Ward 4,2014,332500.0
2,1,Warm Cool,1,1964,2 Story,Row End,Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,3941,Ward 7,2018,415000.0
3,1,Hot Water Rad,0,1957,2 Story,Single,Above Average,Average,Shingle,Comp Shingle,Hardwood,1.0,1,4400,Ward 4,2014,550000.0
3,0,Hot Water Rad,1,1978,3 Story,Semi-Detached,Excellent,Good,Common Brick,Built Up,Wood Floor,3.0,0,2310,Ward 1,2011,676000.0
2,0,Hot Water Rad,0,1943,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1858,Ward 4,2012,340000.0
1,0,Warm Cool,1,1965,2 Story,Row Inside,Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,0,1449,Ward 7,2015,182450.0
1,1,Hot Water Rad,0,1967,2 Story,Semi-Detached,Above Average,Good,Wood Siding,Comp Shingle,Hardwood,1.0,0,1932,Ward 4,2014,460000.0
1,1,Forced Air,1,1967,2 Story,Single,Above Average,Good,Wood Siding,Comp Shingle,Hardwood,1.0,1,6600,Ward 4,2017,610000.0
3,1,Warm Cool,1,1996,3 Story,Row Inside,Excellent,Good,Common Brick,Shingle,Hardwood,1.0,2,2035,Ward 3,2013,897500.0
2,1,Forced Air,1,1967,1.5 Story Fin,Single,Above Average,Good,Common Brick,Slate,Hardwood,1.0,1,5400,Ward 7,2017,405000.0
4,2,Hot Water Rad,1,1984,2 Story,Single,Very Good,Good,Common Brick,Slate,Hardwood,1.0,1,6095,Ward 3,2017,1498750.0
4,1,Forced Air,1,1986,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood/Carp,1.0,0,1750,Ward 1,2017,1580000.0
3,0,Hot Water Rad,1,1969,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,2466,Ward 3,2011,805000.0
2,1,Forced Air,0,1975,1 Story,Single,Average,Good,Wood Siding,Shake,Hardwood,1.0,0,3150,Ward 4,2017,504950.0
1,1,Hot Water Rad,1,1957,2 Story,Row End,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1543,Ward 4,2016,700000.0
1,1,Hot Water Rad,1,1957,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1093,Ward 4,2012,390000.0
2,0,Hot Water Rad,0,1943,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Wood Floor,1.0,0,2850,Ward 4,2018,994000.0
2,1,Forced Air,1,2015,2 Story,Row Inside,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1.0,0,1460,Ward 5,2014,514335.0
1,0,Hot Water Rad,1,1969,1.5 Story Fin,Single,Good Quality,Good,Vinyl Siding,Comp Shingle,Hardwood,1.0,1,3727,Ward 4,2010,625000.0
1,0,Hot Water Rad,0,1954,2 Story,Town Inside,Average,Average,Common Brick,Metal- Sms,Wood Floor,1.0,0,600,Ward 1,2017,400000.0
3,1,Forced Air,1,1972,2 Story,Single,Above Average,Good,Wood Siding,Built Up,Hardwood/Carp,1.0,0,8876,Ward 4,2015,853000.0
2,1,Warm Cool,1,1989,2 Story,Row Inside,Above Average,Average,Brick/Siding,Comp Shingle,Wood Floor,1.0,0,1901,Ward 8,2014,261000.0
3,0,Forced Air,1,1986,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood,1.0,5,1497,Ward 2,2015,1550000.0
2,1,Warm Cool,1,1978,2 Story,Row Inside,Average,Good,Common Brick,Neopren,Hardwood,1.0,2,1468,Ward 6,2015,875000.0
1,1,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,1388,Ward 5,2017,360000.0
4,1,Warm Cool,1,2005,3 Story,Row Inside,Excellent,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,2086,Ward 2,2015,1562500.0
4,1,Forced Air,1,1967,2 Story,Single,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,5314,Ward 5,2014,606000.0
3,1,Forced Air,1,1978,2 Story,Row End,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1310,Ward 4,2014,650000.0
3,1,Forced Air,1,1970,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1666,Ward 4,2014,390000.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,1440,Ward 6,2011,579000.0
3,1,Hot Water Rad,1,1967,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,2,5805,Ward 4,2013,835000.0
2,1,Hot Water Rad,1,1967,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,730,Ward 6,2014,652000.0
2,0,Hot Water Rad,0,1957,2 Story,Row End,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,1365,Ward 6,2010,459000.0
1,0,Forced Air,1,1964,2 Story,Row Inside,Average,Very Good,Common Brick,Comp Shingle,Wood Floor,1.0,0,1003,Ward 6,2018,735000.0
2,1,Hot Water Rad,0,1969,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,4345,Ward 3,2011,815000.0
3,2,Hot Water Rad,1,1970,2.5 Story Fin,Single,Excellent,Average,Brick/Stucco,Slate,Hardwood,1.0,2,3910,Ward 3,2017,1460000.0
3,2,Warm Cool,1,1963,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2.0,1,2000,Ward 2,2015,1770000.0
2,1,Hot Water Rad,1,1957,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,1000,Ward 1,2017,629330.0
2,0,Hot Water Rad,0,1954,2 Story,Row End,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,3333,Ward 5,2017,365000.0
2,1,Hot Water Rad,1,1957,2 Story,Semi-Detached,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,1,2536,Ward 5,2018,580000.0
3,0,Warm Cool,1,1957,2 Story,Row Inside,Above Average,Average,Stucco,Metal- Sms,Hardwood,1.0,0,1551,Ward 1,2018,1015000.0
1,0,Warm Cool,1,1958,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,1655,Ward 5,2016,300000.0
1,1,Hot Water Rad,0,1960,2 Story,Row End,Good Quality,Average,Common Brick,Built Up,Hardwood,1.0,0,1598,Ward 5,2018,700000.0
1,1,Hot Water Rad,0,1954,2 Story,Row Inside,Average,Average,Wood Siding,Metal- Sms,Hardwood,1.0,0,1004,Ward 6,2018,825000.0
3,1,Forced Air,1,1982,2 Story,Row End,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2.0,0,2241,Ward 5,2017,785000.0
2,1,Forced Air,1,1964,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Wood Floor,1.0,1,1488,Ward 5,2016,680000.0
3,1,Hot Water Rad,1,1969,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,2.0,0,1440,Ward 6,2014,990000.0
2,0,Hot Water Rad,0,1969,2.5 Story Fin,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,2,1547,Ward 1,2014,800000.0
2,1,Forced Air,1,1967,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,0,3078,Ward 7,2017,365000.0
1,2,Warm Cool,1,1990,3 Story,Row Inside,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1.0,2,992,Ward 6,2013,715000.0
4,0,Forced Air,1,1984,3 Story,Multi,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1943,Ward 1,2011,975000.0
2,1,Hot Water Rad,1,1967,2 Story,Single,Above Average,Good,Aluminum,Comp Shingle,Hardwood,1.0,1,5325,Ward 5,2015,690000.0
3,1,Forced Air,1,1984,2 Story,Row End,Above Average,Very Good,Common Brick,Built Up,Hardwood,1.0,2,1029,Ward 6,2017,1450000.0
3,1,Hot Water Rad,1,1984,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,1382,Ward 1,2012,757213.0
4,0,Forced Air,1,1972,2 Story,Single,Very Good,Good,Common Brick,Slate,Hardwood,1.0,2,9745,Ward 3,2016,1440000.0
3,0,Warm Cool,1,1957,2 Story,Semi-Detached,Above Average,Good,Common Brick,Slate,Hardwood,1.0,1,2960,Ward 4,2016,730000.0
2,0,Forced Air,1,1964,2 Story,Row End,Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,768,Ward 6,2017,565000.0
3,1,Hot Water Rad,1,1980,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1800,Ward 6,2011,888000.0
2,1,Forced Air,1,1973,2 Story,Single,Good Quality,Good,Brick/Siding,Shake,Hardwood,1.0,2,4985,Ward 3,2016,981000.0
4,1,Warm Cool,1,1987,2 Story,Single,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1.0,3,7800,Ward 3,2010,1435000.0
3,1,Forced Air,1,1969,2 Story,Row End,Good Quality,Very Good,Common Brick,Built Up,Hardwood/Carp,2.0,0,735,Ward 6,2014,824000.0
3,1,Ht Pump,1,1964,2 Story,Row Inside,Average,Very Good,Common Brick,Built Up,Hardwood,1.0,0,1094,Ward 4,2018,669555.0
3,1,Forced Air,1,1964,2 Story,Semi-Detached,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2.0,1,1800,Ward 6,2017,936000.0
1,1,Hot Water Rad,0,1947,2 Story,Single,Above Average,Average,Common Brick,Slate,Hardwood,1.0,2,4053,Ward 5,2015,399999.0
3,1,Forced Air,1,1986,2 Story,Row End,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,2,1520,Ward 4,2013,549000.0
2,1,Hot Water Rad,1,1986,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,2.0,3,1221,Ward 6,2017,1150000.0
2,0,Hot Water Rad,0,1964,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,1,1651,Ward 1,2012,449500.0
2,0,Warm Cool,1,1969,2 Story,Single,Good Quality,Good,Common Brick,Slate,Hardwood,1.0,2,4896,Ward 3,2014,935000.0
2,2,Hot Water Rad,1,1982,2.5 Story Fin,Single,Good Quality,Very Good,Common Brick,Slate,Hardwood,1.0,1,4726,Ward 3,2013,1127500.0
2,0,Hot Water Rad,0,1947,2.5 Story Fin,Single,Above Average,Average,Shingle,Comp Shingle,Hardwood,2.0,1,3996,Ward 4,2012,425000.0
3,1,Forced Air,1,1972,2 Story,Single,Above Average,Good,Wood Siding,Comp Shingle,Hardwood,1.0,1,4050,Ward 4,2016,734000.0
